Restaurant Name,Address,Phone Number,Website,Rating,Reviews,Opening Hours,Expense,Category,Details
Berimbau Brazilian Kitchen,"43 Carmine St, New York, NY 10014, United States",+1 212-401-0021,https://www.berimbaunyc.com/,4.5,957, 10 AM,$$,Brazilian restaurant,"Easygoing restaurant specializing in feijoada & other Brazilian dishes, plus cachaça cocktails."
The Marshal,"628 10th Ave, New York, NY 10036, United States",+1 212-582-6300,https://www.the-marshal.com/,4.4,556, 10 AM,$$$,Restaurant,"Cozy, rustic-chic spot with a wood oven firing farm-to-table New American dishes, plus a full bar."
Keens Steakhouse,"72 W 36 St, New York, NY 10018, United States",+1 212-947-3636,http://www.keens.com/,4.6,"7,035", 10 AM,$$$$,Steak house,"Enormous steaks & signature mutton chops served in a maze of clubby, wood-paneled rooms."
Le Coucou,"138 Lafayette St, New York, NY 10013, United States",+1 212-271-4252,https://www.lecoucou.com/?utm_source=Google%20My%20Business&utm_medium=Website%20Button,4.5,"1,423", 10 AM,$$$$,French restaurant,"Refined French fare, such as lobster, rabbit, duck & foie gras, served in an airy, elegant setting."
Marc Forgione,"134 Reade St, New York, NY 10013, United States",+1 212-941-9401,http://www.marcforgione.com/,4.6,580, 10 AM,$$$,American restaurant,"Bold farm-to-table cuisine in candlelit, rustic-chic environs attracts romance-minded foodies."
Daniel,"60 E 65th St, New York, NY 10065, United States",+1 212-288-0033,http://www.danielnyc.com/,4.6,"1,881", 10 AM,$$$$,French restaurant,Daniel Boulud's elegant French flagship where jackets are required & expense accounts come in handy.
1803 NYC,"82 Reade St, New York, NY 10007, United States",+1 212-267-3000,https://1803nyc.com/,4.5,"1,292", 10 AM,$$$,Creole restaurant,"Spot for upscale takes on Cajun-Creole food & drink, with a look inspired by NOLA's French Quarter."
Schilling Restaurant & Bar,"109 Washington St, New York, NY 10006, United States",+1 212-406-1200,https://www.schillingnyc.com/,4.4,441, 10 AM,$$$,Austrian restaurant,Austrian-Mediterranean food in a space with communal & banquette seating.
Atera,"77 Worth St, New York, NY 10013, United States",+1 212-226-1444,http://www.ateranyc.com/,4.7,414, 10 AM,$$$$,New American restaurant,"Luxe, intimate spot for inventive, multicourse New American tasting menus & cocktails."
Crown Shy,"70 Pine Street Ground Floor, New York, NY 10005, United States",+1 212-517-1932,https://www.crownshy.nyc/,4.6,"1,023", 10 AM,$$$,American restaurant,"Polished, new American restaurant with global influences inside spacious room with high ceilings."
